,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
W44X335,335,98.5,44.0,15.9,1.03,1.77,2.625
W44X290,290,85.4,43.6,15.8,0.865,1.58,2.4375
W44X262,262,76.9,43.3,15.8,0.785,1.42,2.25
W44X230,230,67.7,42.9,15.8,0.710,1.22,2.0625
W40X593,593,174,43.0,16.7,1.79,3.23,4.500
W40X503,503,148,42.1,16.4,1.54,2.76,4.000
W40X431,431,127,41.3,16.2,1.34,2.36,3.625
W40X397,397,117,41.0,16.1,1.22,2.20,3.500
W40X372,372,109,40.6,16.1,1.16,2.05,3.3125
W40X362,362,107,40.6,16.0,1.12,2.01,3.250
W40X324,324,95.3,40.2,15.9,1.00,1.81,3.0625
W40X297,297,87.4,39.8,15.8,0.930,1.65,2.9375
W40X277,277,81.4,39.7,15.8,0.830,1.58,2.875
W40X249,249,73.3,39.4,15.8,0.750,1.42,2.6875
W40X215,215,63.4,39.0,15.8,0.650,1.22,2.500
W40X199,199,58.5,38.7,15.8,0.650,1.07,2.3125
W40X392,392,115,41.6,12.4,1.42,2.52,3.8125
W40X331,331,97.5,40.8,12.2,1.22,2.13,3.375
W40X327,327,96.0,40.8,12.1,1.18,2.13,3.375
W40X294,294,86.3,40.4,12.0,1.06,1.93,3.1875
W40X278,278,82.0,40.2,12.0,1.03,1.81,3.0625
W40X264,264,77.6,40.0,11.9,0.960,1.73,3.000
W40X235,235,69.0,39.7,11.9,0.830,1.58,2.875
W40X211,211,62.0,39.4,11.8,0.750,1.42,2.6875
W40X183,183,53.3,39.0,11.8,0.650,1.20,2.500
W40X167,167,49.2,38.6,11.8,0.650,1.03,2.3125
W40X149,149,43.8,38.2,11.8,0.630,0.830,2.125
W36X798 - Obsolete,798,235.0,41.97,17.990,2.380,4.290,5.563
W36X650 - Obsolete,650,191.0,40.47,17.575,1.970,3.540,4.813
W36X527 - Obsolete,527,155.0,39.21,17.220,1.610,2.910,4.188
W36X439 - Obsolete,439,129.0,38.26,16.965,1.360,2.440,3.688
W36X393 - Obsolete,393,116.0,37.80,16.830,1.220,2.200,3.438
W36X359 - Obsolete,359,105.0,37.40,16.730,1.120,2.010,3.250
W36X328 - Obsolete,328,96.4 ,37.09,16.630,1.020,1.850,3.125
W36X300 - Obsolete,300,88.3 ,36.74,16.655,0.945,1.680,2.938
W36X280 - Obsolete,280,82.4 ,36.52,16.595,0.885,1.570,2.813
W36X260 - Obsolete,260,76.5 ,36.26,16.550,0.840,1.440,2.688
W36X245 - Obsolete,245,72.1 ,36.08,16.510,0.800,1.350,2.625
W36X230 - Obsolete,230,67.6 ,35.90,16.470,0.760,1.260,2.500
W36X800,800,236,42.6,18.0,2.38,4.29,5.5625
W36X652,652,192,41.1,17.6,1.97,3.54,4.8125
W36X529,529,156,39.8,17.2,1.61,2.91,4.1875
W36X487,487,143,39.3,17.1,1.50,2.68,4.000
W36X441,442,130,38.9,17.0,1.36,2.44,3.750
W36X395,395,116,38.4,16.8,1.22,2.20,3.4375
W36X361,361,106,38.0,16.7,1.12,2.01,3.3125
W36X330,330,97.0,37.7,16.6,1.02,1.85,3.125
W36X302,302,88.8,37.3,16.7,0.945,1.68,3.000
W36X282,282,82.9,37.1,16.6,0.885,1.57,2.875
W36X262,262,77.0,36.9,16.6,0.840,1.44,2.750
W36X247,247,72.5,36.7,16.5,0.800,1.35,2.625
W36X231,230,68.1,36.5,16.5,0.760,1.26,2.5625
W36X256,256,75.4,37.4,12.2,0.960,1.73,2.625
W36X232,232,68.1,37.1,12.1,0.870,1.57,2.4375
W36X210,210,61.8,36.7,12.2,0.830,1.36,2.3125
W36X194,194,57.0,36.5,12.1,0.765,1.26,2.1875
W36X182,182,53.6,36.3,12.1,0.725,1.18,2.125
W36X170,170,50.1,36.2,12.0,0.680,1.10,2.000
W36X160,160,47.0,36.0,12.0,0.650,1.02,1.9375
W36X150,150,44.2,35.9,12.0,0.625,0.940,1.875
W36X135,135,39.7,35.6,12.0,0.600,0.790,1.6875
W33X387,387,114,36.0,16.2,1.26,2.28,3.1875
W33X354,354,104,35.6,16.1,1.16,2.09,2.9375
W33X318,318,93.6,35.2,16.0,1.04,1.89,2.750
W33X291,291,85.7,34.8,15.9,0.960,1.73,2.625
W33X263,263,77.5,34.5,15.8,0.870,1.57,2.4375
W33X241,241,71.0,34.2,15.9,0.830,1.40,2.250
W33X221,221,65.2,33.9,15.8,0.775,1.28,2.125
W33X201,201,59.2,33.7,15.7,0.715,1.15,2.000
W33X169,169,49.5,33.8,11.5,0.670,1.22,2.125
W33X152,152,44.8,33.5,11.6,0.635,1.06,1.9375
W33X141,141,41.6,33.3,11.5,0.605,0.960,1.8125
W33X130,130,38.3,33.1,11.5,0.580,0.855,1.750
W33X118,118,34.7,32.9,11.5,0.550,0.740,1.625
W30X391,391,115,33.2,15.6,1.36,2.44,3.375
W30X357,357,105,32.8,15.5,1.24,2.24,3.125
W30X326,326,95.8,32.4,15.4,1.14,2.05,2.9375
W30X292,292,85.9,32.0,15.3,1.02,1.85,2.750
W30X261,261,76.9,31.6,15.2,0.930,1.65,2.5625
W30X235,235,69.2,31.3,15.1,0.830,1.50,2.375
W30X211,211,62.2,30.9,15.1,0.775,1.32,2.250
W30X191,191,56.3,30.7,15.0,0.710,1.19,2.0625
W30X173,173,51.0,30.4,15.0,0.655,1.07,2.000
W30X148,148,43.5,30.7,10.5,0.650,1.18,2.0625
W30X132,132,38.9,30.3,10.5,0.615,1.00,1.875
W30X124,124,36.5,30.2,10.5,0.585,0.930,1.8125
W30X116,116,34.2,30.0,10.5,0.565,0.850,1.75
W30X108,108,31.7,29.8,10.5,0.545,0.760,1.6875
W30X99,99.0,29.1,29.7,10.5,0.520,0.670,1.5625
W30X90,90.0,26.4,29.5,10.4,0.470,0.610,1.500
W27X539,539,159,32.5,15.3,1.97,3.54,4.4375
W27X368,368,108,30.4,14.7,1.38,2.48,3.375
W27X336,336,98.9,30.0,14.6,1.26,2.28,3.1875
W27X307,307,90.4,29.6,14.4,1.16,2.09,3.000
W27X281,281,82.9,29.3,14.4,1.06,1.93,2.8125
W27X258,258,76.0,29.0,14.3,0.980,1.77,2.6875
W27X235,235,69.4,28.7,14.2,0.910,1.61,2.500
W27X217,217,64.0,28.4,14.1,0.830,1.50,2.375
W27X194,194,57.2,28.1,14.0,0.750,1.34,2.250
W27X178,178,52.5,27.8,14.1,0.725,1.19,2.0625
W27X161,161,47.6,27.6,14.0,0.660,1.08,2.000
W27X146,146,43.1,27.4,14.0,0.605,0.975,1.875
W27X129,129,37.8,27.6,10.0,0.610,1.10,2.000
W27X114,114,33.5,27.3,10.1,0.570,0.930,1.8125
W27X102,102,30.0,27.1,10.0,0.515,0.830,1.750
W27X94,94.0,27.7,26.9,10.0,0.490,0.745,1.625
W27X84,84.0,24.8,26.7,10.0,0.460,0.640,1.5625
W24X370,370,109,28.0,13.7,1.52,2.72,3.625
W24X335,335,98.4,27.5,13.5,1.38,2.48,3.375
W24X306,306,89.8,27.1,13.4,1.26,2.28,3.1875
W24X279,279,82.0,26.7,13.3,1.16,2.09,3.000
W24X250,250,73.5,26.3,13.2,1.04,1.89,2.8125
W24X229,229,67.2,26.0,13.1,0.960,1.73,2.625
W24X207,207,60.7,25.7,13.0,0.870,1.57,2.500
W24X192,192,56.3,25.5,13.0,0.810,1.46,2.375
W24X176,176,51.7,25.2,12.9,0.750,1.34,2.250
W24X162,162,47.7,25.0,13.0,0.705,1.22,2.125
W24X146,146,43.0,24.7,12.9,0.650,1.09,2.000
W24X131,131,38.5,24.5,12.9,0.605,0.960,1.875
W24X117,117,34.4,24.3,12.8,0.550,0.850,1.750
W24X104,104,30.6,24.1,12.8,0.500,0.750,1.625
W24X103,103,30.3,24.5,9.00,0.550,0.980,1.875
W24X94,94.0,27.7,24.3,9.07,0.515,0.875,1.750
W24X84,84.0,24.7,24.1,9.02,0.470,0.770,1.6875
W24X76,76.0,22.4,23.9,8.99,0.440,0.680,1.5625
W24X68,68.0,20.1,23.7,8.97,0.415,0.585,1.500
W24X62,62.0,18.2,23.7,7.04,0.430,0.590,1.500
W24X55,55.0,16.2,23.6,7.01,0.395,0.505,1.4375
W21X201,201,59.2,23.0,12.6,0.910,1.63,2.500
W21X182,182,53.6,22.7,12.5,0.830,1.48,2.375
W21X166,166,48.8,22.5,12.4,0.750,1.36,2.250
W21X147,147,43.2,22.1,12.5,0.720,1.15,2.000
W21X132,132,38.8,21.8,12.4,0.650,1.04,1.9375
W21X122,122,35.9,21.7,12.4,0.600,0.960,1.8125
W21X111,111,32.7,21.5,12.3,0.550,0.875,1.750
W21X101,101,29.8,21.4,12.3,0.500,0.800,1.6875
W21X93,93.0,27.3,21.6,8.42,0.580,0.930,1.625
W21X83,83.0,24.3,21.4,8.36,0.515,0.835,1.500
W21X73,73.0,21.5,21.2,8.30,0.455,0.740,1.4375
W21X68,68.0,20.0,21.1,8.27,0.430,0.685,1.375
W21X62,62.0,18.3,21.0,8.24,0.400,0.615,1.3125
W21X55,55.0,16.2,20.8,8.22,0.375,0.522,1.1875
W21X48,48.0,14.1,20.6,8.14,0.350,0.430,1.125
W21X57,57.0,16.7,21.1,6.56,0.405,0.650,1.3125
W21X50,50.0,14.7,20.8,6.53,0.380,0.535,1.250
W21X44,44.0,13.0,20.7,6.50,0.350,0.450,1.125
W18x311,311,91.6,22.3,12.0,1.52,2.74,3.4375
W18x283,283,83.3,21.9,11.9,1.40,2.50,3.1875
W18x258,258,75.9,21.5,11.8,1.28,2.30,3.000
W18x234,234,68.8,21.1,11.7,1.16,2.11,2.750
W18x211,211,62.1,20.7,11.6,1.06,1.91,2.5625
W18x192,192,56.4,20.4,11.5,0.960,1.75,2.4375
W18X175,175,51.3,20.0,11.4,0.890,1.59,2.4375
W18X158,158,46.3,19.7,11.3,0.810,1.44,2.375
W18X143,143,42.1,19.5,11.2,0.730,1.32,2.1875
W18X130,130,38.2,19.3,11.2,0.670,1.20,2.0625
W18X119,119,35.1,19.0,11.3,0.655,1.06,1.9375
W18X106,106,31.1,18.7,11.2,0.590,0.940,1.8125
W18X97,97.0,28.5,18.6,11.1,0.535,0.870,1.750
W18X86,86.0,25.3,18.4,11.1,0.480,0.770,1.625
W18X76,76.0,22.3,18.2,11.0,0.425,0.680,1.5625
W18X71,71.0,20.8,18.5,7.64,0.495,0.810,1.500
W18X65,65.0,19.1,18.4,7.59,0.450,0.750,1.4375
W18X60,60.0,17.6,18.2,7.56,0.415,0.695,1.375
W18X55,55.0,16.2,18.1,7.53,0.390,0.630,1.3125
W18X50,50.0,14.7,18.0,7.50,0.355,0.570,1.250
W18X46,46.0,13.5,18.1,6.06,0.360,0.605,1.250
W18X40,40.0,11.8,17.9,6.02,0.315,0.525,1.1875
W18X35,35.0,10.3,17.7,6.00,0.300,0.425,1.125
W16X100,100,29.5,17.0,10.4,0.585,0.985,1.875
W16X89,89.0,26.2,16.8,10.4,0.525,0.875,1.750
W16X77,77.0,22.6,16.5,10.3,0.455,0.760,1.625
W16X67,67.0,19.7,16.3,10.2,0.395,0.665,1.5625
W16X57,57.0,16.8,16.4,7.12,0.430,0.715,1.375
W16X50,50.0,14.7,16.3,7.07,0.380,0.630,1.3125
W16X45,45.0,13.3,16.1,7.04,0.345,0.565,1.250
W16X40,40.0,11.8,16.0,7.00,0.305,0.505,1.1875
W16X36,36.0,10.6,15.9,6.99,0.295,0.430,1.125
W16X31,31.0,9.13,15.9,5.53,0.275,0.440,1.125
W16X26,26.0,7.68,15.7,5.50,0.250,0.345,1.0625
W14X808 - Obsolete,808,237.0,22.84,18.560,3.740,5.120,6.438
W14X730,730,215,22.4,17.9,3.07,4.91,6.1875
W14X665,665,196,21.6,17.7,2.83,4.52,5.8125
W14X605,605,178,20.9,17.4,2.60,4.16,5.4375
W14X550,550,162,20.2,17.2,2.38,3.82,5.125
W14X500,500,147,19.6,17.0,2.19,3.50,4.8125
W14X455,455,134,19.0,16.8,2.02,3.21,4.500
W14X426,426,125,18.7,16.7,1.88,3.04,4.3125
W14X398,398,117,18.3,16.6,1.77,2.85,4.125
W14X370,370,109,17.9,16.5,1.66,2.66,3.9375
W14X342,342,101,17.5,16.4,1.54,2.47,3.750
W14X311,311,91.4,17.1,16.2,1.41,2.26,3.5625
W14X283,283,83.3,16.7,16.1,1.29,2.07,3.375
W14X257,257,75.6,16.4,16.0,1.18,1.89,3.1875
W14X233,233,68.5,16.0,15.9,1.07,1.72,3.000
W14X211,211,62.0,15.7,15.8,0.980,1.56,2.875
W14X193,193,56.8,15.5,15.7,0.890,1.44,2.750
W14X176,176,51.8,15.2,15.7,0.830,1.31,2.625
W14X159,159,46.7,15.0,15.6,0.745,1.19,2.50
W14X145,145,42.7,14.8,15.5,0.680,1.09,2.375
W14X132,132,38.8,14.7,14.7,0.645,1.03,2.3125
W14X120,120,35.3,14.5,14.7,0.590,0.940,2.250
W14X109,109,32.0,14.3,14.6,0.525,0.860,2.1875
W14X99,99.0,29.1,14.2,14.6,0.485,0.780,2.0625
W14X90,90.0,26.5,14.0,14.5,0.440,0.710,2.000
W14X82,82.0,24.0,14.3,10.1,0.510,0.855,1.6875
